5 0 1 0.262375 2.0985 0 56.5625 308328 12310 1500 false
5 1 2 1.49554 11.9621 0 390.281 303797 1586 1500 false
5 2 3 11.9885 95.9228 0 3122.25 364787 2753 1500 false
5 3 4 11.25 89.9956 0 12730.8 608135 10482 1500 false
5 4 5 10 80.0214 0 12730.8 728170 821 1500 false
5 5 6 11.25 89.9943 0 12730.8 727140 105 1500 false
5 6 7 11.25 89.9998 0 12730.8 726427 473 1500 false
5 7 8 11.25 90.0008 0 12730.8 719483 553 1500 false
5 8 9 11.25 90.002 0 12730.8 711133 282 1500 false
5 9 10 11.25 89.9973 0 12730.8 715408 463 1500 false
